snapshot_date,store_id,product_id,dept_id,quantity_on_hand,quantity_on_order,reorder_point,days_of_supply,shrinkage_units,unit_cost_usd,inventory_value_usd,last_received_date
2022-12-31,STR-0001,PRD-000965,D05,3426,1294,338,270.1,5,522.29,1789365.54,2022-11-16
2022-12-31,STR-0001,PRD-000529,D03,90,417,301,3.6,49,81.07,7296.3,2022-11-19
2022-12-31,STR-0001,PRD-002121,D09,2859,673,401,197.2,45,405.88,1160410.92,2022-12-05
2022-12-31,STR-0001,PRD-000494,D03,2149,248,217,56.0,3,260.67,560179.83,2022-12-24
2022-12-31,STR-0001,PRD-001929,D08,-4688,1703,402,157.8,22,781.86,3665359.68,2022-11-06
2022-12-31,STR-0001,PRD-001265,D06,894,702,463,63.0,10,479.33,428521.02,2022-11-27
2022-12-31,STR-0001,PRD-001553,D07,2747,1943,159,218.9,41,25.31,69526.57,2022-12-12
2022-12-31,STR-0001,PRD-001524,D07,2620,1615,321,79.1,11,652.31,1709052.2,2022-11-28
2022-12-31,STR-0001,PRD-000149,D01,-2390,844,262,657.2,29,258.83,618603.7,2022-12-19
2022-12-31,STR-0001,PRD-001582,D07,905,168,449,19.1,18,707.23,640043.15,2022-12-06
2022-12-31,STR-0001,PRD-000077,D01,3817,105,119,80.5,31,697.26,8782756.69,2022-12-12
2022-12-31,STR-0001,PRD-000606,D03,2212,1503,214,96.0,27,484.1,1070829.2,2022-12-25
2022-12-31,STR-0001,PRD-001658,D07,2508,1771,178,215.8,46,267.85,671767.8,2022-12-27
2022-12-31,STR-0001,PRD-002430,D10,-2203,1290,162,46.2,27,664.06,1462924.18,2022-12-29
2022-12-31,STR-0001,PRD-002499,D10,3428,934,242,120.5,46,414.1,1419534.8,2022-11-15
2022-12-31,STR-0001,PRD-000812,D04,-4059,1098,75,113.7,18,793.69,10631239.44,2022-11-05
2022-12-31,STR-0001,PRD-000635,D03,3652,551,433,132.9,22,485.04,1771366.08,2022-12-13
2022-12-31,STR-0001,PRD-002070,D09,1612,387,189,36.8,25,783.44,1262905.28,2022-11-17
2022-12-31,STR-0001,PRD-001366,D06,1231,1095,167,159.2,37,550.23,677333.13,2022-12-09
2022-12-31,STR-0001,PRD-001406,D07,4619,50,367,198.0,8,332.74,1536926.06,2022-12-08
2022-12-31,STR-0001,PRD-000357,D02,3828,1243,66,463.8,46,757.25,2898753.0,2022-11-28
2022-12-31,STR-0001,PRD-000101,D01,4024,944,209,87.5,22,86.72,348961.28,2022-12-14
2022-12-31,STR-0001,PRD-001527,D07,1242,849,23,25.2,21,787.29,977814.18,2022-11-08
2022-12-31,STR-0001,PRD-000994,D05,4423,1633,422,398.4,41,123.42,545886.66,2022-11-08
2022-12-31,STR-0001,PRD-000909,D04,2248,480,465,77.9,49,772.79,1737231.92,2022-12-17
2022-12-31,STR-0001,PRD-000038,D01,4766,1220,238,347.1,42,481.66,2295591.56,2022-12-28
2022-12-31,STR-0001,PRD-001139,D05,1130,87,51,48.7,16,162.06,183127.8,2022-12-28
2022-12-31,STR-0001,PRD-000524,D03,4898,1490,419,176.4,44,392.74,1923640.52,2022-11-17
2022-12-31,STR-0001,PRD-000438,D02,2956,948,53,135.4,23,397.81,1175926.36,2022-11-13
2022-12-31,STR-0001,PRD-002054,D09,1859,740,452,67.8,14,488.17,907508.03,2022-12-30
2022-12-31,STR-0001,PRD-000152,D01,3665,1738,480,775.6,44,201.69,739193.85,2022-11-11
2022-12-31,STR-0001,PRD-002142,D09,2616,1153,228,89.4,37,462.66,1210318.56,2022-12-23
2022-12-31,STR-0001,PRD-001950,D09,4135,510,357,333.0,19,283.7,1173099.5,2022-12-02
2022-12-31,STR-0001,PRD-001051,D05,4658,745,371,98.5,18,303.38,1413144.04,2022-12-18
2022-12-31,STR-0001,PRD-001656,D07,3690,1592,72,98.9,18,780.68,2880709.2,2022-12-12
2022-12-31,STR-0001,PRD-000174,D01,4221,1194,131,127.4,50,296.92,1253299.32,2022-11-08
2022-12-31,STR-0001,PRD-001055,D05,4496,496,404,286.9,44,529.78,2381890.88,2022-11-22
2022-12-31,STR-0001,PRD-000086,D01,3146,1543,302,608.6,33,78.89,248187.94,2022-12-15
2022-12-31,STR-0001,PRD-000413,D02,3363,1715,134,383.9,23,786.76,2645873.88,2022-12-29
2022-12-31,STR-0001,PRD-001710,D07,1645,4,75,37.7,16,241.14,396675.3,2022-11-30
2022-12-31,STR-0001,PRD-000839,D04,1416,137,396,41.7,24,302.49,428325.84,2022-11-28
2022-12-31,STR-0001,PRD-001451,D07,2345,4,278,140.3,41,47.87,370441.99,2022-11-21
2022-12-31,STR-0001,PRD-000070,D01,3212,1611,23,67.2,0,23.47,75385.64,2022-11-20
2022-12-31,STR-0001,PRD-001082,D05,2617,1764,82,112.7,41,778.59,2037570.03,2022-11-25
2022-12-31,STR-0001,PRD-000378,D02,2467,1134,272,52.3,12,636.88,1571182.96,2022-12-14
2022-12-31,STR-0001,PRD-000817,D04,222,1368,353,11.2,44,745.16,165425.52,2022-12-14
2022-12-31,STR-0001,PRD-001933,D08,1860,145,424,46.1,25,694.08,4260263.04,2022-11-29
2022-12-31,STR-0001,PRD-001127,D05,74,1270,232,2.2,18,97.94,7247.56,2022-12-10
2022-12-31,STR-0001,PRD-001586,D07,1196,454,374,30.9,23,647.19,774039.24,2022-12-27
2022-12-31,STR-0001,PRD-001351,D06,2888,931,235,73.6,22,367.43,1061137.84,2022-11-15
2022-12-31,STR-0001,PRD-001727,D08,3964,560,339,375.5,50,361.89,1434531.96,2022-11-17
2022-12-31,STR-0001,PRD-000658,D03,1073,1386,107,23.0,24,183.76,197174.48,2022-12-07
2022-12-31,STR-0001,PRD-002130,D09,547,1696,457,60.9,10,299.71,541006.52,2022-12-10
2022-12-31,STR-0001,PRD-000558,D03,4759,1761,303,102.6,41,297.08,1413803.72,2022-11-04
2022-12-31,STR-0001,PRD-001723,D08,706,274,118,25.9,18,207.72,146650.32,2022-11-06
2022-12-31,STR-0001,PRD-002144,D09,-3103,1573,436,257.0,4,717.8,2227333.4,2022-12-15
2022-12-31,STR-0001,PRD-001380,D06,685,1941,112,26.0,39,124.01,280324.6,2022-11-26
2022-12-31,STR-0001,PRD-000386,D02,392,632,219,8.8,1,253.09,327397.22,2022-11-25
2022-12-31,STR-0001,PRD-000400,D02,4263,216,340,138.1,36,240.18,3378828.22,2022-12-09
2022-12-31,STR-0001,PRD-002250,D10,1360,1012,175,561.1,21,242.54,329854.4,2022-12-12
2022-12-31,STR-0001,PRD-000900,D04,3296,422,285,147.3,6,219.68,724065.28,2022-12-06
2022-12-31,STR-0001,PRD-001252,D06,1874,184,414,143.7,11,44.99,84311.26,2022-11-08
2022-12-31,STR-0001,PRD-000450,D03,4565,884,294,139.1,2,712.82,3254023.3,2022-11-26
2022-12-31,STR-0001,PRD-002309,D10,4599,966,72,199.6,31,495.75,2279954.25,2022-11-16
2022-12-31,STR-0001,PRD-001060,D05,2675,392,27,68.8,35,130.42,348873.5,2022-11-16
2022-12-31,STR-0001,PRD-000959,D05,4265,58,425,110.4,46,393.93,1680111.45,2022-11-11
2022-12-31,STR-0001,PRD-000681,D03,1816,1511,112,88.3,0,629.22,1142663.52,2022-12-26
2022-12-31,STR-0001,PRD-000355,D02,4809,816,426,112.8,2,506.7,2436720.3,2022-11-27
2022-12-31,STR-0001,PRD-000796,D04,3700,920,439,218.5,6,664.41,2458317.0,2022-12-29
2022-12-31,STR-0001,PRD-002141,D09,1359,1738,283,82.5,37,156.04,212058.36,2022-11-24
2022-12-31,STR-0001,PRD-000724,D04,3439,573,69,305.2,33,95.43,328183.77,2022-11-20
2022-12-31,STR-0001,PRD-000565,D03,4009,946,153,151.3,24,56.23,225426.07,2022-11-02
2022-12-31,STR-0001,PRD-001754,D08,2102,375,455,87.6,46,421.84,886707.68,2022-11-06
2022-12-31,STR-0001,PRD-002110,D09,1525,275,282,232.8,32,232.9,355172.5,2022-12-14
2022-12-31,STR-0001,PRD-000111,D01,4483,1284,61,1841.6,30,209.79,940488.57,2022-12-28
