store_id,store_name,store_format,city,state,region,zip_code,open_date,store_size_sqft,num_employees,monthly_rent_usd,store_manager,is_active
STR-0001,MegaMart New York,Express,New York,NY,Northeast,52717,2006-04-01,55627,137,47387.13,Elena Garcia,1
STR-0002,MegaMart Los Angeles,Outlet,Los Angeles,CA,West,41170,2004-09-01,170321,696,77589.87,Carol White,1
STR-0003,MegaMart Chicago,Hypermarket,Chicago,IL,Midwest,75162,2005-04-01,137989,417,31516.73,Carol White,1
STR-0004,MegaMart Houston,Hypermarket,Houston,TX,Southwest,21427,2017-05-01,144976,500,34721.56,Bob Johnson,1
STR-0005,MegaMart Phoenix,Hypermarket,Phoenix,AZ,Southwest,20610,2006-12-01,151827,468,91321.5,Elena Garcia,1
STR-0006,MegaMart Philadelphia,Hypermarket,Philadelphia,PA,,23086,2006-12-01,91212,109,18764.0,David Chen,1
STR-0007,MegaMart San Antonio,Hypermarket,San Antonio,TX,Southwest,80513,2003-05-01,121590,662,117642.06,Elena Garcia,1
STR-0008,MegaMart San Diego,Hypermarket,San Diego,CA,West,56060,2016-01-01,222104,433,113903.44,Elena Garcia,1
STR-0009,MegaMart Dallas,Outlet,Dallas,TX,Southwest,42480,2007-10-01,128807,432,112031.67,David Chen,1
STR-0010,MegaMart San Jose,Hypermarket,San Jose,CA,West,14600,2001-08-01,170798,60,113146.33,David Chen,1
STR-0011,MegaMart Austin,Hypermarket,Austin,TX,Southwest,43559,2016-10-01,185426,520,13113.63,David Chen,1
STR-0012,MegaMart Jacksonville,Convenience,Jacksonville,FL,Southeast,95789,2003-03-01,83180,563,18314.62,David Chen,1
STR-0013,MegaMart Charlotte,Express,Charlotte,NC,Southeast,64457,2018-01-01,-9999,512,26233.08,Alice Brown,1
STR-0014,MegaMart Indianapolis,Convenience,Indianapolis,IN,Midwest,11075,2007-02-01,179733,497,21451.07,David Chen,1
STR-0015,MegaMart San Francisco,Flagship,San Francisco,CA,West,23515,2004-04-01,73557,234,116929.61,Alice Brown,1
STR-0016,MegaMart Seattle,Superstore,Seattle,WA,West,31528,2004-01-01,18243,258,102210.68,David Chen,1
STR-0017,MegaMart Denver,Outlet,Denver,CO,West,88788,2013-08-01,137747,294,91748.35,Alice Brown,1
STR-0018,MegaMart Nashville,Flagship,Nashville,TN,Southeast,91498,2013-05-01,146807,302,46706.94,Bob Johnson,1
STR-0019,MegaMart Boston,Hypermarket,Boston,MA,Northeast,87573,2015-02-01,14345,39,111592.43,Alice Brown,1
STR-0020,MegaMart Portland,Hypermarket,Portland,OR,West,96328,2003-09-01,58484,715,17047.28,David Chen,1
STR-0021,MegaMart Atlanta,Superstore,Atlanta,GA,Southeast,24219,2012-05-01,125651,520,82216.72,David Chen,1
STR-0022,MegaMart Miami,Superstore,Miami,FL,Southeast,95191,2013-05-01,79322,108,129411.03,Carol White,1
STR-0023,MegaMart Detroit,Express,Detroit,MI,Midwest,35405,2008-06-01,202880,762,149970.06,David Chen,1
STR-0024,MegaMart Minneapolis,Convenience,Minneapolis,MN,Midwest,95914,2016-07-01,137205,567,63059.71,Carol White,1
STR-0025,MegaMart Orlando,Flagship,Orlando,FL,Southeast,83643,2009-02-01,76899,711,19951.52,Bob Johnson,1
STR-0026,MegaMart Tampa,Express,Tampa,FL,Southeast,16422,2006-10-01,168358,594,92742.39,Elena Garcia,1
STR-0027,MegaMart Pittsburgh,Hypermarket,Pittsburgh,PA,Northeast,79167,2000-12-01,158752,142,97721.52,Bob Johnson,1
STR-0028,MegaMart Cincinnati,Express,Cincinnati,OH,Midwest,31095,2010-01-01,182718,548,111196.39,Elena Garcia,1
STR-0029,MegaMart Kansas City,Flagship,Kansas City,MO,Central,21357,2009-02-01,99248,484,98839.29,Frank Miller,1
STR-0030,MegaMart Cleveland,Hypermarket,Cleveland,OH,Midwest,16181,2014-12-01,226109,172,76850.83,Elena Garcia,1
STR-0001,MegaMart New York,Express,New York,NY,Northeast,52717,2006-04-01,55627,137,47387.13,Elena Garcia,1
