product_id,product_name,dept_id,dept_name,category,supplier_id,sku,unit_cost_usd,unit_price_usd,reorder_point,is_perishable,status
PRD-000001,Tablets Item 1,D01,Electronics,Tablets,SUP-013,SKU-0000001,4.16,5.09,74,0,Active
PRD-000002,Cameras Item 2,D01,Electronics,Cameras,SUP-015,SKU-0000002,646.0,1984.09,140,0,Active
PRD-000003,Headphones Item 3,D01,Electronics,Headphones,SUP-001,SKU-0000003,713.29,499.3,291,0,Discontinued
PRD-000004,Headphones Item 4,D01,Electronics,Headphones,SUP-008,SKU-0000004,571.95,897.45,114,0,Seasonal
PRD-000005,Headphones Item 5,D01,Electronics,Headphones,SUP-008,SKU-0000005,615.67,1174.58,127,0,Active
PRD-000006,Tablets Item 6,D01,Electronics,Tablets,SUP-007,SKU-0000006,462.14,1552.11,387,0,Seasonal
PRD-000007,Laptops Item 7,D01,Electronics,Laptops,SUP-013,SKU-0000007,321.83,443.03,324,0,Active
PRD-000008,Cameras Item 8,D01,Electronics,Cameras,SUP-011,SKU-0000008,535.07,1042.32,229,0,Active
PRD-000009,Headphones Item 9,D01,Electronics,Headphones,SUP-004,SKU-0000009,400.79,1200.2,140,0,Active
PRD-000010,Laptops Item 10,D01,Electronics,Laptops,SUP-003,SKU-0000010,750.91,1471.88,435,0,Active
PRD-000011,Headphones Item 11,D01,Electronics,Headphones,SUP-008,SKU-0000011,763.89,1403.43,132,0,Active
PRD-000012,Tablets Item 12,D01,Electronics,Tablets,SUP-005,SKU-0000012,470.32,615.99,98,0,Active
PRD-000013,TVs Item 13,D01,Electronics,TVs,SUP-009,SKU-0000013,466.03,1009.04,325,0,Discontinued
PRD-000014,Cameras Item 14,D01,Electronics,Cameras,SUP-002,SKU-0000014,320.35,986.53,361,0,Discontinued
PRD-000015,Headphones Item 15,D01,Electronics,Headphones,SUP-007,SKU-0000015,284.91,655.82,467,0,Active
PRD-000016,Tablets Item 16,D01,Electronics,Tablets,SUP-010,SKU-0000016,310.93,762.52,394,0,Active
PRD-000017,Smartphones Item 17,D01,Electronics,Smartphones,SUP-005,SKU-0000017,773.83,1444.77,234,0,Seasonal
PRD-000018,Tablets Item 18,D01,Electronics,Tablets,SUP-002,SKU-0000018,544.67,652.52,208,0,Active
PRD-000019,TVs Item 19,D01,Electronics,TVs,SUP-014,SKU-0000019,525.76,1343.17,66,0,Active
PRD-000020,TVs Item 20,D01,Electronics,TVs,SUP-015,SKU-0000020,117.35,257.89,83,0,Active
PRD-000021,Smartphones Item 21,D01,Electronics,Smartphones,SUP-006,SKU-0000021,394.5,726.28,495,0,Active
PRD-000022,Cameras Item 22,D01,Electronics,Cameras,SUP-003,SKU-0000022,205.12,616.26,178,0,Discontinued
PRD-000023,Cameras Item 23,D01,Electronics,Cameras,SUP-009,SKU-0000023,20.01,50.68,334,0,Discontinued
PRD-000024,Laptops Item 24,D01,Electronics,Laptops,SUP-001,SKU-0000024,160.71,425.86,490,0,Discontinued
PRD-000025,Smartphones Item 25,D01,Electronics,Smartphones,SUP-001,SKU-0000025,488.98,1050.01,56,0,Active
PRD-000026,Smartphones Item 26,D01,Electronics,Smartphones,SUP-005,SKU-0000026,580.65,1331.69,217,0,Seasonal
PRD-000027,Smartphones Item 27,D01,Electronics,Smartphones,SUP-009,SKU-0000027,696.92,1636.32,128,0,Seasonal
PRD-000028,Cameras Item 28,D01,Electronics,Cameras,SUP-010,SKU-0000028,25.72,69.67,497,0,Active
PRD-000029,Laptops Item 29,D01,Electronics,Laptops,SUP-005,SKU-0000029,663.08,1999.16,189,0,Active
PRD-000030,Smartphones Item 30,D01,Electronics,Smartphones,SUP-009,SKU-0000030,593.71,1429.44,106,0,Active
PRD-000031,Cameras Item 31,D01,Electronics,Cameras,SUP-004,SKU-0000031,360.34,972.01,68,0,Seasonal
PRD-000032,Tablets Item 32,D01,Electronics,Tablets,SUP-007,SKU-0000032,359.04,736.56,312,0,Discontinued
PRD-000033,Smartphones Item 33,D01,Electronics,Smartphones,SUP-008,SKU-0000033,296.12,425.72,129,0,Active
PRD-000034,Headphones Item 34,D01,Electronics,Headphones,SUP-006,SKU-0000034,764.4,2217.94,491,0,Discontinued
PRD-000035,TVs Item 35,D01,Electronics,TVs,SUP-013,SKU-0000035,591.36,998.38,25,0,Active
PRD-000036,Smartphones Item 36,D01,Electronics,Smartphones,SUP-013,SKU-0000036,774.19,1903.62,317,0,Active
PRD-000037,Tablets Item 37,D01,Electronics,Tablets,SUP-012,SKU-0000037,689.87,2331.89,391,0,Discontinued
PRD-000038,Laptops Item 38,D01,Electronics,Laptops,SUP-004,SKU-0000038,481.66,1363.53,166,0,Active
PRD-000039,Laptops Item 39,D01,Electronics,Laptops,SUP-011,SKU-0000039,739.91,2569.77,180,0,Discontinued
PRD-000040,Headphones Item 40,D01,Electronics,Headphones,SUP-007,SKU-0000040,461.82,727.17,257,0,Discontinued
PRD-000041,Laptops Item 41,D01,Electronics,Laptops,SUP-001,SKU-0000041,150.29,461.16,97,0,Active
PRD-000042,TVs Item 42,D01,Electronics,TVs,SUP-009,SKU-0000042,770.14,1773.81,249,0,Seasonal
PRD-000043,Smartphones Item 43,D01,Electronics,Smartphones,SUP-015,SKU-0000043,663.69,1422.74,450,0,Seasonal
PRD-000044,Smartphones Item 44,D01,Electronics,Smartphones,SUP-001,SKU-0000044,488.51,1601.23,79,0,Active
PRD-000045,Tablets Item 45,D01,Electronics,Tablets,SUP-013,SKU-0000045,769.37,1216.23,93,0,Seasonal
PRD-000046,TVs Item 46,D01,Electronics,TVs,SUP-002,SKU-0000046,604.53,2007.01,365,0,Active
PRD-000047,Headphones Item 47,D01,Electronics,Headphones,SUP-005,SKU-0000047,206.43,314.27,236,0,Active
PRD-000048,Tablets Item 48,D01,Electronics,Tablets,SUP-011,SKU-0000048,203.15,395.93,13,0,Seasonal
PRD-000049,Cameras Item 49,D01,Electronics,Cameras,SUP-014,SKU-0000049,721.59,2103.41,358,0,Active
PRD-000050,Cameras Item 50,D01,Electronics,Cameras,SUP-012,SKU-0000050,645.35,791.27,25,0,Discontinued
PRD-000051,Cameras Item 51,D01,Electronics,Cameras,SUP-003,SKU-0000051,-19.99,939.54,73,0,Active
PRD-000052,Smartphones Item 52,D01,Electronics,Smartphones,SUP-004,SKU-0000052,667.46,2209.25,334,0,Seasonal
PRD-000053,Tablets Item 53,D01,Electronics,Tablets,SUP-011,SKU-0000053,723.69,1756.52,211,0,Active
PRD-000054,Laptops Item 54,D01,Electronics,Laptops,SUP-009,SKU-0000054,534.24,646.79,309,0,Active
PRD-000055,Laptops Item 55,D01,Electronics,Laptops,SUP-005,SKU-0000055,246.77,347.41,328,0,Active
PRD-000056,Laptops Item 56,D01,Electronics,Laptops,SUP-013,SKU-0000056,545.72,1303.58,263,0,Active
PRD-000057,Cameras Item 57,D01,Electronics,Cameras,SUP-004,SKU-0000057,270.03,776.4,404,0,Discontinued
PRD-000058,Tablets Item 58,D01,Electronics,Tablets,SUP-001,SKU-0000058,304.61,634.8,112,0,Active
PRD-000059,Smartphones Item 59,D01,Electronics,Smartphones,SUP-007,SKU-0000059,497.8,1031.79,66,0,Active
