supplier_id,supplier_name,country,primary_category,contact_email,payment_terms_days,lead_time_days,contract_start,contract_end,annual_spend_usd,quality_score,is_preferred,status
SUP-001,Samsung Electronics,South Korea,Electronics,procurement@samsungelectronics.com,90,18,2014-04-01,2025-03-01,176844134.49,4.69,1,Inactive
SUP-002,Apple Inc,United States,Electronics,procurement@appleinc.com,90,40,2020-05-01,2026-04-01,240920000.0,4.98,1,Active
SUP-003,LG Electronics,South Korea,Electronics,procurement@lgelectronics.com,15,60,2017-07-01,2027-12-01,167215987.09,3.34,0,Inactive
SUP-004,,United States,Clothing & Apparel,procurement@nikeinc.com,45,78,2015-01-01,2027-10-01,207078406.78,3.64,1,Active
SUP-005,Adidas AG,Germany,Clothing & Apparel,procurement@adidasag.com,90,60,2014-04-01,2026-02-01,10427583.14,4.73,0,Active
SUP-006,Procter & Gamble,United States,Beauty & Personal Care,procurement@proctergamble.com,90,53,2016-08-01,2027-07-01,230587325.86,3.75,1,Inactive
SUP-007,Unilever,United Kingdom,Beauty & Personal Care,procurement@unilever.com,30,22,2010-10-01,2027-03-01,90112928.46,4.02,0,Under Review
SUP-008,Nestlé SA,Switzerland,Grocery & Food,procurement@nestlésa.com,90,76,2014-11-01,2026-07-01,288205360.26,4.73,0,Active
SUP-009,PepsiCo,United States,Grocery & Food,procurement@pepsico.com,90,79,2013-12-01,2027-07-01,103113749.22,3.48,1,Active
SUP-010,Kraft Heinz,United States,Grocery & Food,procurement@kraftheinz.com,15,70,2011-11-01,2024-11-01,494416668.87,4.73,0,Under Review
SUP-011,Mattel Inc,United States,Toys & Games,procurement@mattelinc.com,60,37,2014-02-01,2024-06-01,389960066.8,4.58,0,Active
SUP-012,Hasbro Inc,United States,Toys & Games,procurement@hasbroinc.com,45,23,2016-12-01,2027-10-01,408761153.26,3.99,0,Under Review
SUP-013,IKEA,Sweden,Furniture,procurement@ikea.com,60,81,2011-04-01,2027-04-01,495667197.21,4.16,0,Inactive
SUP-014,Sony Corporation,Japan,Electronics,procurement@sonycorporation.com,60,59,2010-04-01,2026-12-01,494074979.39,3.77,0,Inactive
SUP-015,Whirlpool,United States,Home & Garden,procurement@whirlpool.com,90,83,2013-09-01,2026-11-01,248107821.81,4.8,1,Active
SUP-016,3M Company,United States,Office Supplies,procurement@3mcompany.com,30,18,2012-02-01,2024-04-01,478710861.6,3.68,1,Under Review
SUP-017,Johnson & Johnson,United States,Pharmacy & Health,procurement@johnsonjohnson.com,30,43,2011-02-01,2025-09-01,383464043.74,4.92,0,Active
SUP-018,Colgate-Palmolive,United States,Beauty & Personal Care,procurement@colgate-palmolive.com,90,39,2020-10-01,2026-08-01,48231719.75,4.29,1,Active
SUP-019,General Mills,United States,Grocery & Food,procurement@generalmills.com,90,88,2012-08-01,2026-01-01,142410357.35,4.02,0,Active
SUP-020,Kellogg Company,United States,Grocery & Food,procurement@kelloggcompany.com,45,21,2017-06-01,2024-09-01,419955669.38,3.77,0,Active
SUP-021,Levi Strauss,United States,Clothing & Apparel,procurement@levistrauss.com,90,7,2013-12-01,2026-12-01,166162107.95,3.17,1,Active
SUP-022,Under Armour,United States,Clothing & Apparel,procurement@underarmour.com,45,19,2011-10-01,2026-03-01,426465874.97,4.38,1,Inactive
SUP-023,Panasonic,Japan,Electronics,procurement@panasonic.com,45,16,2018-09-01,2025-10-01,177618736.62,4.93,0,Under Review
SUP-024,Bosch,Germany,Home & Garden,procurement@bosch.com,60,52,2019-05-01,2026-07-01,273851862.16,4.3,0,Active
SUP-025,Henkel AG,Germany,Beauty & Personal Care,procurement@henkelag.com,90,49,2015-10-01,2024-01-01,30138763.67,4.44,0,Under Review
SUP-001,Samsung Electronics,South Korea,Electronics,procurement@samsungelectronics.com,90,18,2014-04-01,2025-03-01,176844134.49,4.69,1,Inactive
